air_FT033A.root	-1.20532	1.41866	1.95305	1.73443
air_FT033B.root	-1.20429	1.41848	1.9534	1.73319
air_FT038A.root	-1.92353	1.37981	1.20108	1.75948
air_FT038B.root	-1.9248	1.37943	1.20277	1.75655
air_FT040A.root	-1.63768	1.35008	1.54034	1.78169
air_FT040B.root	-1.63687	1.35185	1.53999	1.77897
air_FT042A.root	-0.779761	1.42731	2.37775	1.722
air_FT042B.root	-0.778632	1.42911	2.37732	1.72409
air_FT047A.root	0.051176	1.42743	-3.06549	1.73447
air_FT047B.root	0.0520511	1.42789	-3.065	1.733
air_FT049A.root	-0.243942	1.36265	2.87008	1.78154
air_FT049B.root	-0.243501	1.36158	2.86806	1.78257
air_FT051A.root	0.578049	1.39465	-2.58921	1.75014
air_FT051B.root	0.577183	1.39341	-2.58879	1.75211
air_FT056A.root	1.41533	1.38404	-1.74494	1.72425
air_FT058A.root	1.01725	1.35133	-2.10727	1.7999
air_FT058B.root	1.01664	1.35074	-2.11115	1.79994
air_FT060A.root	1.83322	1.3894	-1.32541	1.75074
air_FT060B.root	1.83163	1.38872	-1.32946	1.7512
air_FT073A.root	-2.362	1.36663	0.766799	1.72871
air_FT073B.root	-2.3654	1.36479	0.765568	1.73354
air_FT075A.root	-2.89432	1.35104	0.262763	1.79492
air_FT075B.root	-2.89452	1.35164	0.258507	1.7912
air_FT032A.root	-1.31461	1.72484	1.79942	1.42344
air_FT032B.root	-1.31596	1.72369	1.79903	1.42531
air_FT039A.root	-1.71986	1.7181	1.39561	1.43332
air_FT039B.root	-1.72072	1.71668	1.39831	1.43286
air_FT041A.root	-0.470536	1.71971	2.64339	1.43416
air_FT041B.root	-0.471391	1.71937	2.64154	1.43409
air_FT043A.root	-0.880411	1.80635	2.23854	1.36214
air_FT043B.root	-0.878169	1.80622	2.23672	1.36287
air_FT048A.root	-0.0520204	1.72674	3.07117	1.42437
air_FT048B.root	-0.0527264	1.72615	3.07106	1.42391
air_FT050A.root	0.782027	1.72067	-2.37977	1.42909
air_FT050B.root	0.780946	1.72022	-2.3813	1.43257
air_FT052A.root	0.37223	1.81242	-2.77373	1.35431
air_FT052B.root	0.373438	1.81245	-2.77775	1.35384
air_FT057A.root	1.20797	1.72262	-1.94917	1.42262
air_FT057B.root	1.20697	1.72174	-1.94988	1.42352
air_FT059A.root	2.03665	1.71839	-1.12307	1.43445
air_FT059B.root	2.03595	1.71633	-1.11793	1.43666
air_FT061A.root	1.63195	1.8052	-1.53322	1.37033
air_FT061B.root	1.63318	1.80581	-1.53093	1.36652
air_FT068A.root	-2.98202	1.71996	0.134119	1.44266
air_FT068B.root	-2.98405	1.71983	0.132997	1.44371
air_FT074A.root	-2.57965	1.72401	0.56315	1.43303
air_FT074B.root	-2.58127	1.72352	0.560171	1.43758
air_FT076A.root	-2.12594	1.81407	0.985634	1.36815
air_FT076B.root	-2.12468	1.81321	0.986521	1.36633
air_FT004A.root	-1.60774	1.99985	1.54286	1.14835
air_FT004B.root	-1.6067	2.00127	1.5444	1.14713
air_FT005A.root	-1.19136	2.15384	1.95931	1.01885
air_FT005B.root	-1.18937	2.15452	1.95271	1.02179
air_FT006A.root	-0.694512	2.15761	2.43515	1.0087
air_FT006B.root	-0.692764	2.1577	2.44039	1.0128
air_FT007A.root	-0.349519	1.99562	2.79654	1.14154
air_FT007B.root	-0.350382	1.99759	2.79493	1.14451
air_FT011A.root	0.0716862	2.15494	-3.07223	1.01554
air_FT011B.root	0.0721487	2.15562	-3.07115	1.0138
air_FT012A.root	0.555026	2.15962	-2.58219	1.01193
air_FT012B.root	0.55624	2.15907	-2.58093	1.01343
air_FT013A.root	0.902164	2.00026	-2.22059	1.13227
air_FT013B.root	0.901081	2.00204	-2.21912	1.13286
air_FT017A.root	1.32554	2.16007	-1.81292	1.01638
air_FT017B.root	1.32731	2.15946	-1.80916	1.01595
air_FT018A.root	1.81041	2.15208	-1.32632	1.01018
air_FT018B.root	1.80996	2.15196	-1.32757	1.00876
air_FT019A.root	2.16042	1.99384	-0.969006	1.14166
air_FT019B.root	2.16036	1.99512	-0.970919	1.14259
air_FT023A.root	2.58097	2.15833	-0.569436	1.01404
air_FT023B.root	2.58151	2.15897	-0.564998	1.01412
air_FT024A.root	3.07451	2.16104	-0.0739819	1.01487
air_FT024B.root	3.07483	2.1617	-0.0701521	1.01691
air_FT025A.root	-2.86366	1.9974	0.290463	1.13684
air_FT025B.root	-2.86391	1.99906	0.294318	1.13975
air_FT029A.root	-2.44963	2.16486	0.703447	1.01805
air_FT029B.root	-2.44703	2.16462	0.706543	1.01597
air_FT030A.root	-1.94636	2.16233	1.18947	1.0231
air_FT030B.root	-1.9437	2.16224	1.19031	1.02321
air_FT002A.root	-1.40313	2.79491	1.67445	0.37205
air_FT002B.root	-1.40869	2.79478	1.68451	0.367807
air_FT003A.root	-1.63227	2.38581	1.54515	0.774233
air_FT003B.root	-1.63087	2.38774	1.54439	0.77099
air_FT008A.root	-0.247912	2.38724	2.86127	0.770397
air_FT008B.root	-0.247678	2.38574	2.86082	0.770019
air_FT009A.root	-0.157449	2.79613	2.93452	0.363697
air_FT009B.root	-0.161751	2.79501	2.94324	0.360698
air_FT010A.root	-0.930061	2.57606	2.21645	0.621547
air_FT010B.root	-0.927459	2.57682	2.21133	0.623593
air_FT014A.root	0.875332	2.38727	-2.24198	0.775057
air_FT014B.root	0.876054	2.38841	-2.23633	0.771983
air_FT015A.root	1.08664	2.79377	-2.12243	0.364561
air_FT015B.root	1.08375	2.79315	-2.1293	0.367028
air_FT016A.root	0.329709	2.57395	-2.80841	0.601906
air_FT016B.root	0.331859	2.57313	-2.81171	0.601198
air_FT020A.root	2.13751	2.38524	-0.987644	0.776057
air_FT020B.root	2.13764	2.38655	-0.98465	0.774431
air_FT021A.root	2.36603	2.79876	-0.826568	0.360389
air_FT021B.root	2.35882	2.79606	-0.818993	0.373513
air_FT022A.root	1.57702	2.57465	-1.55376	0.619534
air_FT022B.root	1.57819	2.57411	-1.55768	0.617101
air_FT026A.root	-2.89008	2.38701	0.278478	0.772079
air_FT026B.root	-2.89073	2.38857	0.280691	0.76706
air_FT027A.root	-2.68392	2.79559	0.399138	0.358936
air_FT027B.root	-2.69071	2.79405	0.382819	0.360249
air_FT028A.root	2.84678	2.57506	-0.304303	0.615033
air_FT028B.root	2.84622	2.57442	-0.304466	0.616849
air_FT031A.root	-2.18442	2.57338	0.954274	0.618887
air_FT031B.root	-2.18176	2.57307	0.957081	0.619512
